epoch,lr-AdamW,step,train/loss_step
,0.0005,0,
0,,49,0.6895309686660767
0,,99,0.4996833801269531
0,,149,0.3657960891723633
0,,199,0.3243734836578369
0,,249,0.44716501235961914
0,,299,0.3728860020637512
0,,349,0.5882542133331299
0,,399,0.4992678165435791
0,,449,0.9458476901054382
0,,499,0.7008587121963501
0,,549,0.1289122998714447
0,,599,0.37518006563186646
0,,649,0.6420596837997437
0,,699,0.485546350479126
0,,749,0.12339046597480774
0,,799,0.6369316577911377
0,,849,0.4701727628707886
0,,899,0.27087172865867615
0,,949,0.7298537492752075
0,,999,0.37786567211151123
0,,1049,0.3490658402442932
0,,1099,0.5886373519897461
0,,1149,0.41299504041671753
0,,1199,0.4532855451107025
0,,1249,0.6376149654388428
0,,1299,0.05801362544298172
0,,1349,0.45788267254829407
0,,1399,0.23258700966835022
0,,1449,0.1553499847650528
0,,1499,0.5305331945419312
0,,1549,0.3443911075592041
0,,1599,0.5591863393783569
0,,1649,0.3388529121875763
0,,1699,0.6761803030967712
0,,1749,0.6184417605400085
0,,1799,0.46010106801986694
0,,1849,0.5568147897720337
0,,1899,0.578691840171814
0,,1949,0.6237824559211731
0,,1999,0.5206655859947205
0,,2049,0.28474801778793335
0,,2099,0.26889464259147644
0,,2149,0.5888062715530396
0,,2199,0.5017295479774475
